author,title,pub_date,item_uri,acq_date
"Morley, Christopher",Being Human: A Story,1932,https://shakespeareandco.princeton.edu/books/morley-human/,1933-03
"Hurst, Fannie",Imitation of Life: A Novel,1933,https://shakespeareandco.princeton.edu/books/hurst-imitation-life/,1933-03
"Aldington, Richard",All Men Are Enemies: A Romance,1933,https://shakespeareandco.princeton.edu/books/aldington-men-enemies/,1933-03
"Anthony, Katharine",Marie Antoinette,1933,,1933-03
"Jackson, J. Hampden",Europe sInce the War: A Sketch of Political Development 1918–1932,1933,https://shakespeareandco.princeton.edu/books/jackson-europe-since-war/,1933-03
"Sugimoto, Etsu Inaqaki","A Daughter of the Samurai: How a Daughter of Feudal Japan, Living Hundreds of Years in One Generation, Became a Modern American",1925,https://shakespeareandco.princeton.edu/books/sugimoto-daughter-samurai/,1933-03
"Lawrence, D. H. ",The Lovely Lady,1932,https://shakespeareandco.princeton.edu/books/lawrence-lovely-lady/,1933-03
"Rhondda, The Viscountess",This Was My World,1933,https://shakespeareandco.princeton.edu/books/mackworth-world/,1933-03
"Walpole, Hugh",All Souls Night,1933,https://shakespeareandco.princeton.edu/books/walpole-souls-night/,1933-03
"Sitwell, Satcheverell",Mozart,1932,https://shakespeareandco.princeton.edu/books/sitwell-mozart/,1933-03
"Leon, Derrick",Livingstones,1933,https://shakespeareandco.princeton.edu/books/leon-livingstones-novel-contemporary/,1933-03
"Butts, Mary",The Macedonian,1933,https://shakespeareandco.princeton.edu/books/butts-macedonian/,1933-03
"Millin, Sarah Gertrude",Rhodes,1933,https://shakespeareandco.princeton.edu/books/millin-rhodes/,1933-03
"Mottram, R. H.",The Lame Dog,1933,https://shakespeareandco.princeton.edu/books/mottram-lame-dog/,1933-03
"Lewisohn, Ludwig",This People,1933,https://shakespeareandco.princeton.edu/books/lewisohn-people/,1933-03
"Bradby, G. F.",The Brontes and Other Essays,1932,,1933-03
,New Country: Prose and Poetry by the Authors of New Signatures,1933,https://shakespeareandco.princeton.edu/books/roberts-new-country-prose/,1933-03
"Willis, Irene Cooper",The Brontes ,1933,https://shakespeareandco.princeton.edu/books/willis-brontes/,1933-03
"Crofts, F. W.",The Hog's Back Mystery,1933,,1933-03
"Pankhurst, Sylvia",The Home Front: A Mirror to Life in England during the First World War,1932,,1933-03
"Mannin, Ethel",Venetian Blinds,1933,https://shakespeareandco.princeton.edu/books/mannin-venetian-blinds/,1933-03
"Scott, Howard",Introduction to Technocracy,1933,,1933-03
"Hergesheimer, Joseph",Tropical Winter,1933,https://shakespeareandco.princeton.edu/books/hergesheimer-tropical-winter/,1933-03
"Buck, Pearl S.",Is There a Case for Foreign Missions?,1932,https://shakespeareandco.princeton.edu/books/buck-case-foreign-missions/,1933-03
"Spender, Stephen",Poems,1934,https://shakespeareandco.princeton.edu/books/spender-poems/,1933-03
"Monroe, Harriet",Poets & Their Art,1926,https://shakespeareandco.princeton.edu/books/monroe-poets-art/,1933-03
