item_id,member_id,period,metric,score
dickens-david-copperfield,hemingway-ernest,1924-03-28/1925-03-28,pearson,1.0
thompson-francis-thompsons-works,hemingway-ernest,1924-03-28/1925-03-28,euclidean,1.0
carritt-theory-beauty,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.6428571428571428
thompson-francis-thompsons-works,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.5697213423070114
shakespeare-shakespeare,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
swinnerton-george-gissing-critical,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
byron-lord-byrons-correspondence,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wright-life-walter-pater,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
white-gold,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
lindsay-daniel-jazz-poems,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
corkery-threshold-quiet,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
dostoyevsky-eternal-husband-stories,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
chesterton-things-considered,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
shakespeare-shakespeare,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
abercrombie-thomas-hardy-critical,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
lindsay-daniel-jazz-poems,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
george-bed-roses,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
galsworthy-villa-rubein,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
abercrombie-thomas-hardy-critical,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
twain-mark-twains-autobiography,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wright-life-walter-pater,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
snaith-van-roon,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wells-washington-hope-peace,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
austen-lady-susan,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wells-washington-hope-peace,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
jameson-clash,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
bell-since-cezanne,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
bell-since-cezanne,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
swinnerton-george-gissing-critical,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
jameson-clash,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
thoreau-essays-writings-henry,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
jones-samuel-butler,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
moore-avowals,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
smollett-adventures-roderick-random,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
jones-samuel-butler,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
mencken-book-burlesques,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
carritt-theory-beauty,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.4281512185584556
shaw-unsocial-socialist,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3928571428571428
shaw-unsocial-socialist,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3928571428571428
pound-instigations-ezra-pound,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3857142857142857
pound-instigations-ezra-pound,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3857142857142857
fielding-history-tom-jones,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3749999999999999
fielding-history-tom-jones,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3749999999999999
moore-avowals,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.3542167837440499
mencken-american-language,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3482142857142857
mencken-american-language,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3482142857142857
fitzgerald-side-paradise,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
fitzgerald-side-paradise,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
sinnett-growth-soul,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
stevenson-virginibus-puerisque-papers,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
stevenson-virginibus-puerisque-papers,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
du-bois-darkwater,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
du-bois-darkwater,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
