id,title,author,year
smollett-adventures-roderick-random,The Adventures of Roderick Random,Tobias Smollett,1748.0
fielding-history-tom-jones,"The History of Tom Jones, a Foundling",Henry Fielding,1749.0
smollett-adventures-peregrine-pickle,The Adventures of Peregrine Pickle,Tobias Smollett,1751.0
burney-evelina-history-young,"Evelina: Or, the History of a Young Lady's Entrance into the World",Fanny Burney,1778.0
gogol-dead-souls,Dead Souls,Nikolai Gogol,1842.0
dickens-david-copperfield,David Copperfield,Charles Dickens,1850.0
dostoyevsky-possessed,The Possessed,Fyodor Dostoyevsky,1872.0
green-short-history-english,A Short History of the English People,John Richard Green,1874.0
dowden-shakespeare,Shakespeare,Edward Dowden,1877.0
stevenson-virginibus-puerisque-papers,Virginibus Puerisque and Other Papers,Robert Louis Stevenson,1881.0
schreiner-story-african-farm,The Story of an African Farm,Olive Schreiner,1883.0
doughty-travels-arabia-deserta,Travels in Arabia Deserta,Charles Montagu Doughty,1883.0
twain-adventures-huckleberry-finn,The Adventures of Huckleberry Finn,Mark Twain,1884.0
hardy-mayor-casterbridge,The Mayor of Casterbridge,Thomas Hardy,1886.0
saintsbury-history-elizabethan-literature,A History of Elizabethan Literature (History of English Literature 1),George Saintsbury,1887.0
wilde-happy-prince-tales,The Happy Prince and Other Tales,Oscar Wilde,1888.0
crane-maggie-girl-streets,Maggie: A Girl of the Streets,Stephen Crane,1893.0
thoreau-essays-writings-henry,Essays and Other Writings of Henry Thoreau,Henry David Thoreau,1895.0
meredith-amazing-marriage,The Amazing Marriage,George Meredith,1895.0
clouston-lunatic-large-novel,The Lunatic at Large: A Novel,J. Storer Clouston,1899.0
james-wings-dove,The Wings of the Dove,Henry James,1902.0
shaw-man-superman,Man and Superman,George Bernard Shaw,1903.0
chesterton-heretics,Heretics,G. K. Chesterton,1905.0
shaw-irrational-knot,The Irrational Knot,George Bernard Shaw,1905.0
machen-house-souls,The House of Souls,Arthur Machen,1906.0
galsworthy-man-property-forsyte,The Man of Property (The Forsyte Saga),John Galsworthy,1906.0
raleigh-shakespeare,Shakespeare,Walter Alexander Raleigh,1907.0
wright-life-walter-pater,The Life of Walter Pater,Thomas Wright,1907.0
chesterton-things-considered,All Things Considered,G. K. Chesterton,1908.0
galsworthy-villa-rubein,Villa Rubein,John Galsworthy,1908.0
forster-howards-end,Howards End,E. M. Forster,1910.0
chesterton-appreciations-criticisms-works,Appreciations and Criticisms of the Works of Charles Dickens,G. K. Chesterton,1911.0
white-peacock,The White Peacock,D. H. Lawrence,1911.0
swinnerton-george-gissing-critical,George Gissing: A Critical Study,Frank Swinnerton,1912.0
tagore-gitanjali,Gitanjali,Rabindranath Tagore,1912.0
chesterton-manalive,Manalive,G. K. Chesterton,1912.0
abercrombie-thomas-hardy-critical,Thomas Hardy: A Critical Study,Lascelles Abercrombie,1912.0
white-gold,Gold,Stewart Edward White,1913.0
stephens-ladies,Here Are Ladies,James Stephens,1913.0
thompson-francis-thompsons-works,Works of Francis Thompson,Francis Thompson,1913.0
carritt-theory-beauty,The Theory of Beauty,E. F. Carritt,1914.0
dunsany-fifty-one-tales,Fifty-One Tales,Lord Dunsany,1915.0
rhys-rabindranath-tagore-biographical,Rabindranath Tagore: A Biographical Study,Ernest Rhys,1915.0
chekhov-black-monk,The Black Monk and Other Stories,Anton Chekhov,1915.0
george-bed-roses,A Bed of Roses,Walter Lionel George,1916.0
richardson-backwater-pilgrimage-2,Backwater (Pilgrimage 2),Dorothy M. Richardson,1916.0
west-henry-james,Henry James,Rebecca West,1916.0
dunsany-tales-wonder,Tales of Wonder,Lord Dunsany,1916.0
jung-psychology-unconscious,The Psychology of the Unconscious,Carl Gustav Jung,1916.0
shaw-unsocial-socialist,An Unsocial Socialist,George Bernard Shaw,1917.0
richardson-honeycomb-pilgrimage-3,Honeycomb (Pilgrimage 3),Dorothy M. Richardson,1917.0
mckenna-sonia-two-worlds,Sonia: Between Two Worlds,Stephen McKenna,1917.0
dostoyevsky-eternal-husband-stories,The Eternal Husband and Other Stories,Fyodor Dostoyevsky,1917.0
conrad-shadow-line-confession,The Shadow Line: A Confession,Joseph Conrad,1917.0
corkery-threshold-quiet,The Threshold of Quiet,Daniel Corkery,1917.0
joyce-exiles,Exiles,James Joyce,1918.0
hergesheimer-gold-iron,Gold and Iron,Joseph Hergesheimer,1918.0
cather-antonia,My Antonia,Willa Cather,1918.0
sinnett-growth-soul,The Growth of the Soul,A. P. Sinnett,1918.0
moore-avowals,Avowals,George Moore,1919.0
hardy-collected-poems-thomas,Collected Poems of Thomas Hardy,Thomas Hardy,1919.0
wilkinson-new-voices-introduction,New Voices: An Introduction to Contemporary Poetry,Marguerite Wilkinson,1919.0
mencken-american-language,The American Language,H. L. Mencken,1919.0
oneill-moon-caribbees-six,"The Moon of the Caribbees, and Six Other Plays of the Sea",Eugene O'Neill,1919.0
freud-totem-taboo,Totem and Taboo,Sigmund Freud,1919.0
oneill-beyond-horizon,Beyond the Horizon,Eugene O'Neill,1920.0
