item_id,score,type,subscription_period,subscription_start,subscription_end,member_id
joyce-portrait-artist-young,50.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
joyce-dubliners,45.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
richardson-pointed-roofs,40.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mansfield-garden-party-stories,34.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mansfield-bliss-short-stories,31.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
joyce-exiles,30.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lawrence-women-love,29.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
douglas-south-wind,27.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
joyce-ulysses,26.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
richardson-honeycomb-pilgrimage-3,25.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lawrence-sons-lovers,25.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
butler-way-flesh,24.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
richardson-backwater-pilgrimage-2,24.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stephens-crock-gold,22.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lewis-babbitt,21.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lewis-main-street-story,21.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
stein-three-lives,20.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
moore-esther-waters,20.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
strachey-queen-victoria,17.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hardy-tess-durbervilles,17.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-lord-jim,17.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
huxley-crome-yellow,17.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
cather-antonia,16.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shaw-plays-pleasant-unpleasant,16.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
hardy-jude-obscure,16.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
strachey-eminent-victorians,16.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
blake-blakes-works,14.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
oneill-emperor-jones,13.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
butler-erewhon,13.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
woolf-voyage,13.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
bronte-jane-eyre,13.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lawrence-lost-girl,13.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lawrence-aarons-rod,13.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
clouston-lunatic-large-novel,12.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
white-peacock,12.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
pepys-diary-samuel-pepys,12.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mackenzie-early-life-adventures,11.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
lewis-tarr,11.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
joyce-chamber-music,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
swinnerton-nocturne,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
anderson-triumph-egg,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
anderson-winesburg-ohio-group,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
conrad-western-eyes,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
jerome-three-men-boat,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-country-house,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
fielding-history-tom-jones,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
frank-dark-mother,10.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
asquith-autobiography-margot-asquith,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
whitman-leaves-grass,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
frank-rahab,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dreiser-twelve-men,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
mackenzie-sylvia-michael,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
anderson-poor-white,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
galsworthy-beyond,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
dane-bill-divorcement,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
shaw-back-methuselah-metabiological,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
jung-psychology-unconscious,9.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
frank-america,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
oneill-beyond-horizon,8.0,popular (all time),1921-12-28/1922-11-08,1921-12-28,1922-11-08,hemingway-ernest
