item_uri,formatted_chart_title,formatted_table_title,member_id,period,subscription_start,subscription_end,metric,score
dickens-david-copperfield,David Copperfield by Charles Dickens,"*David Copperfield*,<br> Charles Dickens",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,pearson,1.0
thompson-francis-thompsons-works,Works of Francis Thompson by Francis Thompson,"*Works of Francis Thompson*,<br> Francis Thompson",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,1.0
carritt-theory-beauty,The Theory of Beauty by E. F. Carritt,"*The Theory of Beauty*,<br> E. F. Carritt",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.6428571428571428
thompson-francis-thompsons-works,Works of Francis Thompson by Francis Thompson,"*Works of Francis Thompson*,<br> Francis Thompson",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,cosine,0.5697213423070114
shakespeare-shakespeare,Shakespeare by William Shakespeare,"*Shakespeare*,<br> William Shakespeare",hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
swinnerton-george-gissing-critical,George Gissing: A Critical Study by Frank Swinnerton,"*George Gissing: A Critical Study*,<br> Frank Swinnerton",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
byron-lord-byrons-correspondence,Lord Byron's Correspondence by George Gordon Byron Byron,"*Lord Byron's Correspondence*,<br> George Gordon Byron Byron",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
wright-life-walter-pater,The Life of Walter Pater by Thomas Wright,"*The Life of Walter Pater*,<br> Thomas Wright",hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
white-gold,Gold by Stewart Edward White,"*Gold*,<br> Stewart Edward White",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
lindsay-daniel-jazz-poems,The Daniel Jazz and Other Poems by Vachel Lindsay,"*The Daniel Jazz and Other Poems*,<br> Vachel Lindsay",hemingway-ernest,1921-12-28/1922-11-08,1921-12-28,1922-11-08,euclidean,0.42857142857142855
corkery-threshold-quiet,The Threshold of Quiet by Daniel Corkery,"*The Threshold of Quiet*,<br> Daniel Corkery",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
dostoyevsky-eternal-husband-stories,The Eternal Husband and Other Stories by Fyodor Dostoyevsky,"*The Eternal Husband and Other Stories*,<br> Fyodor Dostoyevsky",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
chesterton-things-considered,All Things Considered by G. K. Chesterton,"*All Things Considered*,<br> G. K. Chesterton",hemingway-ernest,1924-03-28/1925-03-28,1924-03-28,1925-03-28,euclidean,0.42857142857142855
