member_id,item_id,score,subscription_start,subscription_end
raphael-france,joyce-portrait-artist-young,50.0,1920-04-30,1921-11-17
raphael-france,joyce-dubliners,45.0,1920-04-30,1921-11-17
raphael-france,richardson-pointed-roofs,40.0,1920-04-30,1921-11-17
raphael-france,joyce-exiles,30.0,1920-04-30,1921-11-17
raphael-france,lawrence-women-love,29.0,1920-04-30,1921-11-17
raphael-france,richardson-honeycomb-pilgrimage-3,25.0,1920-04-30,1921-11-17
raphael-france,butler-way-flesh,24.0,1920-04-30,1921-11-17
raphael-france,richardson-backwater-pilgrimage-2,24.0,1920-04-30,1921-11-17
raphael-france,dreiser-sister-carrie,22.0,1920-04-30,1921-11-17
raphael-france,bronte-wuthering-heights,21.0,1920-04-30,1921-11-17
raphael-france,lewis-main-street-story,21.0,1920-04-30,1921-11-17
raphael-france,stein-three-lives,20.0,1920-04-30,1921-11-17
raphael-france,strachey-queen-victoria,17.0,1920-04-30,1921-11-17
raphael-france,hardy-tess-durbervilles,17.0,1920-04-30,1921-11-17
raphael-france,conrad-lord-jim,17.0,1920-04-30,1921-11-17
raphael-france,strachey-eminent-victorians,16.0,1920-04-30,1921-11-17
raphael-france,hardy-jude-obscure,16.0,1920-04-30,1921-11-17
raphael-france,james-aspern-papers,16.0,1920-04-30,1921-11-17
raphael-france,shaw-plays-pleasant-unpleasant,16.0,1920-04-30,1921-11-17
raphael-france,meredith-egoist,15.0,1920-04-30,1921-11-17
raphael-france,woolf-night-day,15.0,1920-04-30,1921-11-17
raphael-france,blake-blakes-works,14.0,1920-04-30,1921-11-17
raphael-france,bennett-old-wives-tale,13.0,1920-04-30,1921-11-17
raphael-france,butler-erewhon,13.0,1920-04-30,1921-11-17
raphael-france,lawrence-lost-girl,13.0,1920-04-30,1921-11-17
raphael-france,woolf-voyage,13.0,1920-04-30,1921-11-17
raphael-france,james-princess-casamassima,12.0,1920-04-30,1921-11-17
raphael-france,moore-lake-2,12.0,1920-04-30,1921-11-17
raphael-france,clouston-lunatic-large-novel,12.0,1920-04-30,1921-11-17
raphael-france,lewis-tarr,11.0,1920-04-30,1921-11-17
raphael-france,beerbohm-zuleika-dobson,11.0,1920-04-30,1921-11-17
raphael-france,meredith-diana-crossways,11.0,1920-04-30,1921-11-17
raphael-france,joyce-chamber-music,10.0,1920-04-30,1921-11-17
raphael-france,swinnerton-nocturne,10.0,1920-04-30,1921-11-17
raphael-france,eliot-sacred-wood-essays,10.0,1920-04-30,1921-11-17
raphael-france,thayer-dial,10.0,1920-04-30,1921-11-17
raphael-france,conrad-western-eyes,10.0,1920-04-30,1921-11-17
raphael-france,squire-london-mercury,10.0,1920-04-30,1921-11-17
raphael-france,conrad-shadow-line-confession,10.0,1920-04-30,1921-11-17
raphael-france,moore-evelyn-inness,10.0,1920-04-30,1921-11-17
raphael-france,hardy-trumpet-major,10.0,1920-04-30,1921-11-17
raphael-france,jerome-three-men-boat,10.0,1920-04-30,1921-11-17
raphael-france,james-spoils-poynton,10.0,1920-04-30,1921-11-17
raphael-france,anderson-winesburg-ohio-group,10.0,1920-04-30,1921-11-17
raphael-france,shaw-back-methuselah-metabiological,9.0,1920-04-30,1921-11-17
raphael-france,richardson-deadlock-pilgrimage-6,9.0,1920-04-30,1921-11-17
raphael-france,dreiser-twelve-men,9.0,1920-04-30,1921-11-17
raphael-france,anderson-poor-white,9.0,1920-04-30,1921-11-17
raphael-france,asquith-autobiography-margot-asquith,9.0,1920-04-30,1921-11-17
