member_id,item_id,score,subscription_start,subscription_end
raphael-france,joyce-dubliners,9,1920-04-30,1921-11-17
raphael-france,squire-london-mercury,9,1920-04-30,1921-11-17
raphael-france,shaw-heartbreak-house-fantasia,7,1920-04-30,1921-11-17
raphael-france,butler-erewhon,7,1920-04-30,1921-11-17
raphael-france,dunsany-five-plays,6,1920-04-30,1921-11-17
raphael-france,asquith-autobiography-margot-asquith,5,1920-04-30,1921-11-17
raphael-france,thayer-dial,5,1920-04-30,1921-11-17
raphael-france,joyce-portrait-artist-young,4,1920-04-30,1921-11-17
raphael-france,conrad-lord-jim,4,1920-04-30,1921-11-17
raphael-france,conrad-shadow-line-confession,4,1920-04-30,1921-11-17
raphael-france,moore-lewis-seymour-women,4,1920-04-30,1921-11-17
raphael-france,shaw-cashel-byrons-profession,4,1920-04-30,1921-11-17
raphael-france,shaw-plays-pleasant-unpleasant,4,1920-04-30,1921-11-17
raphael-france,swinnerton-george-gissing-critical,4,1920-04-30,1921-11-17
raphael-france,dreiser-sister-carrie,4,1920-04-30,1921-11-17
raphael-france,jerome-three-men-boat,3,1920-04-30,1921-11-17
raphael-france,lawrence-trespasser,3,1920-04-30,1921-11-17
raphael-france,wells-passionate-friends,3,1920-04-30,1921-11-17
raphael-france,conrad-typhoon,3,1920-04-30,1921-11-17
raphael-france,bradby-psycho-analysis-place,3,1920-04-30,1921-11-17
raphael-france,james-roderick-hudson,3,1920-04-30,1921-11-17
raphael-france,wharton-age-innocence,3,1920-04-30,1921-11-17
raphael-france,hudson-crystal-age,3,1920-04-30,1921-11-17
raphael-france,conrad-nigger-narcissus,3,1920-04-30,1921-11-17
raphael-france,richardson-pointed-roofs,3,1920-04-30,1921-11-17
raphael-france,du-bois-darkwater-voices-within,3,1920-04-30,1921-11-17
raphael-france,dreiser-jennie-gerhardt,3,1920-04-30,1921-11-17
raphael-france,wells-outline-history,3,1920-04-30,1921-11-17
raphael-france,lewis-main-street-story,3,1920-04-30,1921-11-17
raphael-france,butler-way-flesh,3,1920-04-30,1921-11-17
raphael-france,clouston-lunatic-large-novel,3,1920-04-30,1921-11-17
raphael-france,wells-boon,3,1920-04-30,1921-11-17
raphael-france,stein-three-lives,3,1920-04-30,1921-11-17
raphael-france,stephens-mary-mary,3,1920-04-30,1921-11-17
raphael-france,hardy-trumpet-major,3,1920-04-30,1921-11-17
raphael-france,hardy-jude-obscure,3,1920-04-30,1921-11-17
raphael-france,gosse-diversions-man-letters,3,1920-04-30,1921-11-17
raphael-france,kipling-kim,3,1920-04-30,1921-11-17
raphael-france,kaye-smith-green-apple-harvest,3,1920-04-30,1921-11-17
raphael-france,dreiser-titan,3,1920-04-30,1921-11-17
raphael-france,joyce-exiles,3,1920-04-30,1921-11-17
raphael-france,woolf-night-day,3,1920-04-30,1921-11-17
raphael-france,conrad-rescue-romance-shallows,3,1920-04-30,1921-11-17
raphael-france,dunsany-fifty-one-tales,2,1920-04-30,1921-11-17
raphael-france,james-spoils-poynton,2,1920-04-30,1921-11-17
raphael-france,jerome-idle-thoughts-idle,2,1920-04-30,1921-11-17
raphael-france,galsworthy-justice,2,1920-04-30,1921-11-17
raphael-france,james-princess-casamassima,2,1920-04-30,1921-11-17
raphael-france,james-awkward-age,2,1920-04-30,1921-11-17
raphael-france,galsworthy-plays,2,1920-04-30,1921-11-17
raphael-france,galsworthy-saints-progress,2,1920-04-30,1921-11-17
raphael-france,gibbs-street-adventure,2,1920-04-30,1921-11-17
raphael-france,freud-totem-taboo,2,1920-04-30,1921-11-17
raphael-france,gilman-man-made-world,2,1920-04-30,1921-11-17
raphael-france,gissing-private-papers-henry,2,1920-04-30,1921-11-17
raphael-france,frank-america,2,1920-04-30,1921-11-17
raphael-france,hearn-japan-attempt-interpretation,2,1920-04-30,1921-11-17
raphael-france,henderson-new-poetry-anthology,2,1920-04-30,1921-11-17
raphael-france,a-e-collected-poems,2,1920-04-30,1921-11-17
raphael-france,hergesheimer-gold-iron,2,1920-04-30,1921-11-17
raphael-france,hergesheimer-java-head,2,1920-04-30,1921-11-17
raphael-france,houghton-younger-generation,2,1920-04-30,1921-11-17
raphael-france,howells-howells,2,1920-04-30,1921-11-17
raphael-france,galsworthy-mob,2,1920-04-30,1921-11-17
raphael-france,james-aspern-papers,2,1920-04-30,1921-11-17
raphael-france,a-e-candle-vision,2,1920-04-30,1921-11-17
raphael-france,johnston-mrs-warrens-daughter,2,1920-04-30,1921-11-17
raphael-france,tagore-gardener,2,1920-04-30,1921-11-17
raphael-france,stevenson-new-arabian-nights,2,1920-04-30,1921-11-17
raphael-france,stevenson-vailima-letters-correspondence,2,1920-04-30,1921-11-17
raphael-france,stevenson-virginibus-puerisque-papers,2,1920-04-30,1921-11-17
raphael-france,stopes-married-love-love,2,1920-04-30,1921-11-17
raphael-france,strachey-queen-victoria,2,1920-04-30,1921-11-17
raphael-france,symonds-key-blue-prose,2,1920-04-30,1921-11-17
raphael-france,synge,2,1920-04-30,1921-11-17
raphael-france,tagore-gitanjali,2,1920-04-30,1921-11-17
raphael-france,jones-samuel-butler,2,1920-04-30,1921-11-17
raphael-france,wassermann-worlds-illusion,2,1920-04-30,1921-11-17
raphael-france,waugh-loom-youth,2,1920-04-30,1921-11-17
raphael-france,wells-history-mr-polly,2,1920-04-30,1921-11-17
raphael-france,wells-russia-shadows,2,1920-04-30,1921-11-17
raphael-france,wells-soul-bishop,2,1920-04-30,1921-11-17
raphael-france,wilde-intentions,2,1920-04-30,1921-11-17
raphael-france,wilde-picture-dorian-grey,2,1920-04-30,1921-11-17
raphael-france,shaw-misalliance,2,1920-04-30,1921-11-17
raphael-france,shaw-man-superman,2,1920-04-30,1921-11-17
raphael-france,shaw-doctors-dilemma,2,1920-04-30,1921-11-17
raphael-france,shaw-androcles-lion,2,1920-04-30,1921-11-17
raphael-france,kipling-diversity-creatures,2,1920-04-30,1921-11-17
raphael-france,kipling-light-failed,2,1920-04-30,1921-11-17
raphael-france,kipling-wee-willie-winkie,2,1920-04-30,1921-11-17
raphael-france,lodge-raymond-life-death,2,1920-04-30,1921-11-17
raphael-france,loving-fifty-contemporary-one,2,1920-04-30,1921-11-17
raphael-france,macaulay-potterism,2,1920-04-30,1921-11-17
raphael-france,macy-spirit-american-literature,2,1920-04-30,1921-11-17
raphael-france,meredith-egoist,2,1920-04-30,1921-11-17
raphael-france,monro-contemporary-poets,2,1920-04-30,1921-11-17
raphael-france,moore-muslin,2,1920-04-30,1921-11-17
raphael-france,noguchi-story-yone-noguchi,2,1920-04-30,1921-11-17
raphael-france,note-books,2,1920-04-30,1921-11-17
raphael-france,okakura-book-tea,2,1920-04-30,1921-11-17
raphael-france,percy-bysshe-shelley,2,1920-04-30,1921-11-17
raphael-france,santayana-little-essays-drawn,2,1920-04-30,1921-11-17
raphael-france,lindsay-daniel-jazz-poems,2,1920-04-30,1921-11-17
raphael-france,jerome-told-supper,2,1920-04-30,1921-11-17
raphael-france,bennett-matador-five-towns,2,1920-04-30,1921-11-17
raphael-france,chesterton-victorian-age-literature,2,1920-04-30,1921-11-17
raphael-france,anderson-winesburg-ohio-group,2,1920-04-30,1921-11-17
raphael-france,davies-autobiography-super-tramp,2,1920-04-30,1921-11-17
raphael-france,butler-humour-homer-essays,2,1920-04-30,1921-11-17
raphael-france,butler-pigs-pigs,2,1920-04-30,1921-11-17
raphael-france,bennett-united-states,2,1920-04-30,1921-11-17
raphael-france,darwin-origin-species,2,1920-04-30,1921-11-17
raphael-france,butler-erewhon-revisited-twenty,2,1920-04-30,1921-11-17
raphael-france,ashford-young-visiters-mister,2,1920-04-30,1921-11-17
raphael-france,bennett-ghost,2,1920-04-30,1921-11-17
raphael-france,abercrombie-thomas-hardy-critical,2,1920-04-30,1921-11-17
raphael-france,abercrombie-speculative-dialogues,2,1920-04-30,1921-11-17
raphael-france,conrad-western-eyes,2,1920-04-30,1921-11-17
raphael-france,dane-legend,2,1920-04-30,1921-11-17
raphael-france,bennett-human-machine,2,1920-04-30,1921-11-17
raphael-france,dell-hundredth-chance,2,1920-04-30,1921-11-17
raphael-france,dell-moon-calf,2,1920-04-30,1921-11-17
raphael-france,dell-second-country-france,2,1920-04-30,1921-11-17
raphael-france,conrad-youth-narrative,2,1920-04-30,1921-11-17
raphael-france,sanger-woman-new-race,1,1920-04-30,1921-11-17
raphael-france,bennett-women-chapters-sex,1,1920-04-30,1921-11-17
raphael-france,rossettis-poetical-works,1,1920-04-30,1921-11-17
raphael-france,sabatini-scaramouche,1,1920-04-30,1921-11-17
raphael-france,saintsbury-history-elizabethan-literature,1,1920-04-30,1921-11-17
raphael-france,sayler-russian-theatre,1,1920-04-30,1921-11-17
raphael-france,sandburg-cornhuskers,1,1920-04-30,1921-11-17
raphael-france,santayana-interpretations-poetry-religion,1,1920-04-30,1921-11-17
raphael-france,saltus-paliser-case,1,1920-04-30,1921-11-17
raphael-france,sanskrit-literature,1,1920-04-30,1921-11-17
raphael-france,sandburg-smoke-steel,1,1920-04-30,1921-11-17
raphael-france,santayana-character-opinion-united,1,1920-04-30,1921-11-17
raphael-france,santayana,1,1920-04-30,1921-11-17
raphael-france,schreiner-story-african-farm,1,1920-04-30,1921-11-17
raphael-france,shakespeare-songs-sonnets,1,1920-04-30,1921-11-17
